branch_id	branch_contingency	branch_from	branch_to	branch_r_pu	branch_x_pu	branch_b_pu	branch_rating_mw_long_term	branch_rating_mw_short_term	branch_rating_mw_emergency	branch_tap_ratio	branch_phase_shift	branch_status
A_1_2	1	1	2	0.0026	0.0139	0.4611	175	193	200	0	0	1
A_1_3	1	1	3	0.0546	0.2112	0.0572	175	208	220	0	0	1
A_1_5	1	1	5	0.0218	0.0845	0.0229	175	208	220	0	0	1
A_2_4	1	2	4	0.0328	0.1267	0.0343	175	208	220	0	0	1
A_2_6	1	2	6	0.0497	0.192	0.052	175	208	220	0	0	1
A_3_9	1	3	9	0.0308	0.119	0.0322	175	208	220	0	0	1
A_3_24	1	3	24	0.0023	0.0839	0	400	510	600	1.015	0	1
A_4_9	1	4	9	0.0268	0.1037	0.0281	175	208	220	0	0	1
A_5_10	1	5	10	0.0228	0.0883	0.0239	175	208	220	0	0	1
A_6_10	1	6	10	0.0139	0.0605	0.459	175	193	200	0	0	1
A_7_8	0	7	8	0.0159	0.0614	0.0166	175	208	220	0	0	1
A_8_9	1	8	9	0.0427	0.1651	0.0447	175	208	220	0	0	1
A_8_10	1	8	10	0.0427	0.1651	0.0447	175	208	220	0	0	1
A_9_11	1	9	11	0.0023	0.0839	0	400	510	600	1.03	0	1
A_9_12	1	9	12	0.0023	0.0839	0	400	510	600	1.03	0	1
A_10_11	1	10	11	0.0023	0.0839	0	400	510	600	1.015	0	1
A_10_12	1	10	12	0.0023	0.0839	0	400	510	600	1.015	0	1
A_11_13	1	11	13	0.0061	0.0476	0.0999	500	600	625	0	0	1
A_11_14	1	11	14	0.0054	0.0418	0.0879	500	625	625	0	0	1
A_12_13	1	12	13	0.0061	0.0476	0.0999	500	625	625	0	0	1
A_12_23	1	12	23	0.0124	0.0966	0.203	500	625	625	0	0	1
A_13_23	1	13	23	0.0111	0.0865	0.1818	500	625	625	0	0	1
A_14_16	1	14	16	0.005	0.0389	0.0818	500	625	625	0	0	1
A_15_16	1	15	16	0.0022	0.0173	0.0364	500	600	625	0	0	1
A_15_21_a	1	15	21	0.0063	0.049	0.103	500	600	625	0	0	1
A_15_21_b	1	15	21	0.0063	0.049	0.103	500	600	625	0	0	1
A_15_24	1	15	24	0.0067	0.0519	0.1091	500	600	625	0	0	1
A_16_17	1	16	17	0.0033	0.0259	0.0545	500	600	625	0	0	1
A_16_19	1	16	19	0.003	0.0231	0.0485	500	600	625	0	0	1
A_17_18	1	17	18	0.0018	0.0144	0.0303	500	600	625	0	0	1
A_17_22	1	17	22	0.0135	0.1053	0.2212	500	600	625	0	0	1
A_18_21_a	1	18	21	0.0033	0.0259	0.0545	500	600	625	0	0	1
A_18_21_b	1	18	21	0.0033	0.0259	0.0545	500	600	625	0	0	1
A_19_20_a	1	19	20	0.0051	0.0396	0.0833	500	600	625	0	0	1
A_19_20_b	1	19	20	0.0051	0.0396	0.0833	500	600	625	0	0	1
A_20_23_a	1	20	23	0.0028	0.0216	0.0455	500	600	625	0	0	1
A_20_23_b	1	20	23	0.0028	0.0216	0.0455	500	600	625	0	0	1
A_21_22	1	21	22	0.0087	0.0678	0.1424	500	600	625	0	0	1
