PROJECT	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_bus
U20_1a	U20	A	0	20	1
U20_1b	U20	A	0	20	1
U76_1c	U76	A	0	76	1
U76_1d	U76	A	0	76	1
U20_2a	U20	A	0	20	2
U20_2b	U20	A	0	20	2
U76_2c	U76	A	0	76	2
U76_2d	U76	A	0	76	2
U100_7a	U100	A	0	100	7
U100_7b	U100	A	0	100	7
U100_7c	U100	A	0	100	7
U197_13a	U197	A	0	197	13
U197_13b	U197	A	0	197	13
U197_13c	U197	A	0	197	13
SyncCond_14	SyncCond	A	0	200	14
U12_15a	U12	A	0	12	15
U12_15b	U12	A	0	12	15
U12_15c	U12	A	0	12	15
U12_15d	U12	A	0	12	15
U12_15e	U12	A	0	12	15
U155_15f	U155	A	0	155	15
U155_16	U155	A	0	155	16
U400_18	U400	A	0	400	18
U400_21	U400	A	0	400	21
U50_22a	U50	A	0	50	22
U50_22b	U50	A	0	50	22
U50_22c	U50	A	0	50	22
U50_22d	U50	A	0	50	22
U50_22e	U50	A	0	50	22
U50_22f	U50	A	0	50	22
U155_23a	U155	A	0	155	23
U155_23b	U155	A	0	155	23
U350_23c	U350	A	0	350	23
