BUS	TIMEPOINT	bus_demand_mw	bus_demand_mvar
1	0	72.36	14.74
1	1	68.04	13.86
1	2	64.8	13.2
1	3	63.72	12.98
1	4	63.72	12.98
1	5	64.8	13.2
1	6	79.92	16.28
1	7	92.88	18.92
1	8	102.6	20.9
1	9	103.68	21.12
1	10	103.68	21.12
1	11	102.6	20.9
1	12	102.6	20.9
1	13	102.6	20.9
1	14	100.44	20.46
1	15	101.52	20.68
1	16	106.92	21.78
1	17	108	22
1	18	108	22
1	19	103.68	21.12
1	20	98.28	20.02
1	21	89.64	18.26
1	22	78.84	16.06
1	23	68.04	13.86
2	0	64.99	13.4
2	1	61.11	12.6
2	2	58.2	12
2	3	57.23	11.8
2	4	57.23	11.8
2	5	58.2	12
2	6	71.78	14.8
2	7	83.42	17.2
2	8	92.15	19
2	9	93.12	19.2
2	10	93.12	19.2
2	11	92.15	19
2	12	92.15	19
2	13	92.15	19
2	14	90.21	18.6
2	15	91.18	18.8
2	16	96.03	19.8
2	17	97	20
2	18	97	20
2	19	93.12	19.2
2	20	88.27	18.2
2	21	80.51	16.6
2	22	70.81	14.6
2	23	61.11	12.6
3	0	120.6	24.79
3	1	113.4	23.31
3	2	108	22.2
3	3	106.2	21.83
3	4	106.2	21.83
3	5	108	22.2
3	6	133.2	27.38
3	7	154.8	31.82
3	8	171	35.15
3	9	172.8	35.52
3	10	172.8	35.52
3	11	171	35.15
3	12	171	35.15
3	13	171	35.15
3	14	167.4	34.41
3	15	169.2	34.78
3	16	178.2	36.63
3	17	180	37
3	18	180	37
3	19	172.8	35.52
3	20	163.8	33.67
3	21	149.4	30.71
3	22	131.4	27.01
3	23	113.4	23.31
4	0	49.58	10.05
4	1	46.62	9.45
4	2	44.4	9
4	3	43.66	8.85
4	4	43.66	8.85
4	5	44.4	9
4	6	54.76	11.1
4	7	63.64	12.9
4	8	70.3	14.25
4	9	71.04	14.4
4	10	71.04	14.4
4	11	70.3	14.25
4	12	70.3	14.25
4	13	70.3	14.25
4	14	68.82	13.95
4	15	69.56	14.1
4	16	73.26	14.85
4	17	74	15
4	18	74	15
4	19	71.04	14.4
4	20	67.34	13.65
4	21	61.42	12.45
4	22	54.02	10.95
4	23	46.62	9.45
5	0	47.57	9.38
5	1	44.73	8.82
5	2	42.6	8.4
5	3	41.89	8.26
5	4	41.89	8.26
5	5	42.6	8.4
5	6	52.54	10.36
5	7	61.06	12.04
5	8	67.45	13.3
5	9	68.16	13.44
5	10	68.16	13.44
5	11	67.45	13.3
5	12	67.45	13.3
5	13	67.45	13.3
5	14	66.03	13.02
5	15	66.74	13.16
5	16	70.29	13.86
5	17	71	14
5	18	71	14
5	19	68.16	13.44
5	20	64.61	12.74
5	21	58.93	11.62
5	22	51.83	10.22
5	23	44.73	8.82
6	0	60.3	13.4
6	1	56.7	12.6
6	2	54	12
6	3	53.1	11.8
6	4	53.1	11.8
6	5	54	12
6	6	66.6	14.8
6	7	77.4	17.2
6	8	85.5	19
6	9	86.4	19.2
6	10	86.4	19.2
6	11	85.5	19
6	12	85.5	19
6	13	85.5	19
6	14	83.7	18.6
6	15	84.6	18.8
6	16	89.1	19.8
6	17	90	20
6	18	90	20
6	19	86.4	19.2
6	20	81.9	18.2
6	21	74.7	16.6
6	22	65.7	14.6
6	23	56.7	12.6
7	0	83.75	16.75
7	1	78.75	15.75
7	2	75	15
7	3	73.75	14.75
7	4	73.75	14.75
7	5	75	15
7	6	92.5	18.5
7	7	107.5	21.5
7	8	118.75	23.75
7	9	120	24
7	10	120	24
7	11	118.75	23.75
7	12	118.75	23.75
7	13	118.75	23.75
7	14	116.25	23.25
7	15	117.5	23.5
7	16	123.75	24.75
7	17	125	25
7	18	125	25
7	19	120	24
7	20	113.75	22.75
7	21	103.75	20.75
7	22	91.25	18.25
7	23	78.75	15.75
8	0	114.57	23.45
8	1	107.73	22.05
8	2	102.6	21
8	3	100.89	20.65
8	4	100.89	20.65
8	5	102.6	21
8	6	126.54	25.9
8	7	147.06	30.1
8	8	162.45	33.25
8	9	164.16	33.6
8	10	164.16	33.6
8	11	162.45	33.25
8	12	162.45	33.25
8	13	162.45	33.25
8	14	159.03	32.55
8	15	160.74	32.9
8	16	169.29	34.65
8	17	171	35
8	18	171	35
8	19	164.16	33.6
8	20	155.61	31.85
8	21	141.93	29.05
8	22	124.83	25.55
8	23	107.73	22.05
9	0	117.25	24.12
9	1	110.25	22.68
9	2	105	21.6
9	3	103.25	21.24
9	4	103.25	21.24
9	5	105	21.6
